ID	EntityName	DisplayName	Health Type	AddressLine	Location	City	State	PhoneNumbers	Email	Description	Latitude	Longitude
1	HOSPITAL MUNICIPAL CARLOS TORTELLY  (Antigo CPN)	HOSPITAL MUNICIPAL CARLOS TORTELLY	Hospital	Rua Des. Athayde Parreira, 266	Centro	Niterói	Rio de Janeiro	2729-9300; 2729-9343; 2729-9340 	direcao.hmct@saude.niteroi.rj.gov.br; admin.hmct@saude.niteroi.rj.gov.br	Emergência 24 horas. 	-22.895575	-43.110475
2	HOSPITAL PEDIÁTRICO GETÚLIO VARGAS FILHO	HOSPITAL GETULINHO	Hospital	Rua Teixeira de Freitas s/nº	Fonseca	Niterói	Rio de Janeiro	2627-1535; 2627-1525; 2627-1543	direcao.hgfv@saude.niteroi.rj.gov.br; admin.hgvf@saude.niteroi.rj.gov.br	Emergência pediátrica, porta aberta 24 horas.	-22.880942	-43.078719
3	HOSPITAL ORÊNCIO DE FREITAS		Hospital	Av.Machado s/nº	Barreto	Niterói	Rio de Janeiro	2620-5157; 2620-3434	direcao.hof@saude.niteroi.rj.gov.br; admin.hof@saude.niteroi.rj.gov.br	Emergência 24 horas para atendimento a cirurgias abdominais. Conta com outros serviços de cirurgias como ginecológicas, urológicas, vasculares e com vídeolaparoscopia em caráter eletivo. 	-22.864663	-43.094735
4	HOSPITAL PSIQUIÁTRICO JURUJUBA		Saude Mental	Av. Prefeito Sylvio Picanço s/nº	Jurujuba	Niterói	Rio de Janeiro	2714-8856; 2710-0663; 2610-7678	direcao.hpj@saude.niteroi.rj.gov.br; admin.hpj@saude.niteroi.rj.gov.br	Emergência 24 horas para o atendimento psiquiátrico do município.	-22.931986	-43.097964
5	MATERNIDADE ALZIRA REIS		Hospital	Av.Carlos Ermelindo Marins s/nº	Jurujuba	Niterói	Rio de Janeiro	3611-0107; 3701-1846	direcao.mar@saude.niteroi.rj.gov.br; admin.mar@saude.niteroi.rj.gov.br	Referência para gestantes de baixo risco no município. Emergência 24 horas.	-22.935185	-43.100935
6	Policlinica REGIONAL DR. CARLOS ANTÔNIO DA SILVA	POLICLÍNICA REGIONAL DE SÃO LOURENÇO	Policlinica	Rua Jansen de Mello s/nº	São Lourenço	Niterói	Rio de Janeiro	2717-1426; 2719-0050	prcas@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Nutrição, Dermatologia, Neurologia adulto e infantil, Núcleo de Saude Mental, Ecocardiograma e Eletrocardiograma, Alergista, Psicologia, Endodontia, Assistência Social, Periodontia, Hepatologia, Fisioterapia, Farmácia, Terapeuta Ocupacional, Psiquiatria, Infectologia, Fonoaudiologia, Vacinação básica, Teste do pezinho e PPD e orelhinha, Teste de Investigação de gravidez (TIG). 		
7	Policlinica REGIONAL DR. SÉRGIO AROUCA	POLICLÍNICA REGIONAL DE SANTA ROSA	Policlinica	Praça Vital Brazil s/nº	Santa Rosa	Niterói	Rio de Janeiro	2610-8975; 2711-2366; 2710-9176	prsa@saude.niteroi.rj.gov; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Nutrição, Dermatologia, Neurologia, Alergista, Psicologia, Assistência Social, Reumatologia, Fisioterapia, Cardiologia, Terapeuta Ocupacional, Fonoaudiologia, Núcleo de Saude Mental, Infectologia, Farmácia, Vacinas básicas, Teste de Investigação de Gravidez (TIG), Teste do Pezinho e Turbeculose (TB).		
8	Policlinica REGIONAL DR. GUILHERME TAYLOR MARCH	POLICLÍNICA REGIONAL DO FONSECA	Policlinica	Rua Desembargador Lima Castro, 238	Fonseca	Niterói	Rio de Janeiro	2626-4170	prgmarch@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Nutrição, Dermatologia, Neurologia, Psicologia, Assistência Social, Homeopatia, Endocrinologia, Pneumologista, Fisioterapia, Terapia Ocupacional, Fonoaudiologia, Cardiologista, Farmácia, Eletrocardiograma, Exame do pezinho e triagem comportamental, Vacinas básicas, grupos:  idosos, mamãe e bebê, Planejamento Familiar, Hipertensão e Diabetes, Gestante e Teste de Investigação de Gravidez (TIG), Hanseníase, Tuberculose, Sisvon, Urologista, Teste do Olhinho e Orelhinha, Neurologista (só adulto). 	-22.886177	-43.088330
9	Policlinica REGIONAL DO LARGO DA BATALHA DR. FRANCISCO DA CRUZ NUNES	POLICLÍNICA REGIONAL DO LARGO DA BATALHA	Policlinica	Rua Ver.Armando Ferreira, 30	Largo da Batalha	Niterói	Rio de Janeiro	2616-3633; 2710-1053; 2710-7100	prlbatalha@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Endocrinologia, Nutrição, Dermatologia, Alergista, Fonoaudiologia ,Fisioterapia, Assistência Social, Infectologia, Geriatria, Neurologia, Cardiologista, RX, Coleta domiciliar , Teste do Pezinho e Orelhinha, Teste de Investigação de Gravidez (TIG), Programa de Tabagismo, Saúde da mulher, Hiperdia, Urologista.	-22.907589	-43.067285
10	Policlinica REGIONAL DE ITAIPU ASSISTENTE SOCIAL MARIA APARECIDA DA COSTA	POLICLÍNICA REGIONAL DE ITAIPU	Policlinica	Est.Engenho do Mato s/nº	Itaipu	Niterói	Rio de Janeiro	2609-6368; 2709-1579	pritaipu@saude.niteroi.rj.gov.br; 	Consultas básicas (Clínica Médica, Pediatria, Ginecologia), Odontologia, Endocrinologia, Dermatologia, Nutrição, Psicologia, Fonoaudiologia, Fisioterapia, Assistência Social, Neurologia, Fisioterapia, Ultrassonografia, Eletrocardiograma, Todos os testes comportamentais, Teste do Pezinho e Reflexo Vermelho, Terapia Ocupacional, Homeopatia, Ambulatório de feridas, Saúde do idoso, Hipertensão e Diabetes, Acupuntura , Teste de Investigação de Gravidez (TIG), Geriatria, Ortopedia, Urologia, Grupo de Hipertensão e Diabetes, Saúde da Mulher. 		
